a₀,r,σ,wᵈ,ρ,cor
0.025,0.0,0.1,0.2,-0.4,NaN
0.025,0.0,0.1,0.2,-0.2,NaN
0.025,0.0,0.1,0.2,0.0,NaN
0.025,0.0,0.1,0.2,0.2,NaN
0.025,0.0,0.1,0.2,0.4,NaN
0.025,0.0,0.1,0.2,0.6,0.6927494190543988
0.025,0.0,0.1,0.2,0.8,0.8715463288000227
0.025,0.0,0.1,0.8,-0.4,-0.05864866687963856
0.025,0.0,0.1,0.8,-0.2,0.14294840073400844
0.025,0.0,0.1,0.8,0.0,0.37358968135858145
0.025,0.0,0.1,0.8,0.2,0.6108813953326586
0.025,0.0,0.1,0.8,0.4,0.8262740194854649
0.025,0.0,0.1,0.8,0.6,0.9737979156516159
0.025,0.0,0.1,0.8,0.8,0.9917454054897866
0.025,0.0,0.4,0.2,-0.4,-0.3938417385442466
0.025,0.0,0.4,0.2,-0.2,-0.19514960741229334
0.025,0.0,0.4,0.2,0.0,0.011344264926809969
0.025,0.0,0.4,0.2,0.2,0.2221401241656742
0.025,0.0,0.4,0.2,0.4,0.4419038460394358
0.025,0.0,0.4,0.2,0.6,0.6646462645541005
0.025,0.0,0.4,0.2,0.8,0.8669873431349412
0.025,0.0,0.4,0.8,-0.4,-0.36419675428018616
0.025,0.0,0.4,0.8,-0.2,-0.13391844839636824
0.025,0.0,0.4,0.8,0.0,0.1413259057827489
0.025,0.0,0.4,0.8,0.2,0.4953740807030506
0.025,0.0,0.4,0.8,0.4,0.7840322037647021
0.025,0.0,0.4,0.8,0.6,0.9113162151305214
0.025,0.0,0.4,0.8,0.8,0.9509081984681131
0.05,0.0,0.1,0.2,-0.4,NaN
0.05,0.0,0.1,0.2,-0.2,NaN
0.05,0.0,0.1,0.2,0.0,0.10878262243271684
0.05,0.0,0.1,0.2,0.2,0.3271526103353311
0.05,0.0,0.1,0.2,0.4,0.5117599147252037
0.05,0.0,0.1,0.2,0.6,0.7030886098146755
0.05,0.0,0.1,0.2,0.8,0.8779317200557847
0.05,0.0,0.1,0.8,-0.4,-0.058723440783382756
0.05,0.0,0.1,0.8,-0.2,0.20260144712147898
0.05,0.0,0.1,0.8,0.0,0.4336713533431776
0.05,0.0,0.1,0.8,0.2,0.7575404115256685
0.05,0.0,0.1,0.8,0.4,0.9417241667995556
0.05,0.0,0.1,0.8,0.6,0.9771197794994925
0.05,0.0,0.1,0.8,0.8,0.9864146678939096
0.05,0.0,0.4,0.2,-0.4,-0.39279177818913397
0.05,0.0,0.4,0.2,-0.2,-0.19014408479792544
0.05,0.0,0.4,0.2,0.0,0.021103420463825875
0.05,0.0,0.4,0.2,0.2,0.23795885992033153
0.05,0.0,0.4,0.2,0.4,0.4642951929531093
0.05,0.0,0.4,0.2,0.6,0.6827630447010705
0.05,0.0,0.4,0.2,0.8,0.870001655681674
0.05,0.0,0.4,0.8,-0.4,-0.30650169085567947
0.05,0.0,0.4,0.8,-0.2,-0.010357099720952223
0.05,0.0,0.4,0.8,0.0,0.36471818017478724
0.05,0.0,0.4,0.8,0.2,0.6638443720637717
0.05,0.0,0.4,0.8,0.4,0.8168003834953732
0.05,0.0,0.4,0.8,0.6,0.8936109564309694
0.05,0.0,0.4,0.8,0.8,0.9365984319792643
0.075,0.0,0.1,0.2,-0.4,-0.3028084927338383
0.075,0.0,0.1,0.2,-0.2,-0.09497310734377457
0.075,0.0,0.1,0.2,0.0,0.13700872158257155
0.075,0.0,0.1,0.2,0.2,0.3334320025529877
0.075,0.0,0.1,0.2,0.4,0.507962829474693
0.075,0.0,0.1,0.2,0.6,0.7027157736746907
0.075,0.0,0.1,0.2,0.8,0.8796901316730645
0.075,0.0,0.1,0.8,-0.4,-0.07337029061340894
0.075,0.0,0.1,0.8,-0.2,0.27193158617940894
0.075,0.0,0.1,0.8,0.0,0.6451841077667114
0.075,0.0,0.1,0.8,0.2,0.8949997995688372
0.075,0.0,0.1,0.8,0.4,0.9582665940236169
0.075,0.0,0.1,0.8,0.6,0.9743264723751784
0.075,0.0,0.1,0.8,0.8,0.9823557111772211
0.075,0.0,0.4,0.2,-0.4,-0.3900621306990368
0.075,0.0,0.4,0.2,-0.2,-0.18344541205016454
0.075,0.0,0.4,0.2,0.0,0.030595581612326755
0.075,0.0,0.4,0.2,0.2,0.25411562717887265
0.075,0.0,0.4,0.2,0.4,0.4800091149558254
0.075,0.0,0.4,0.2,0.6,0.6961989192159236
0.075,0.0,0.4,0.2,0.8,0.8703099152363677
0.075,0.0,0.4,0.8,-0.4,-0.20638334916516543
0.075,0.0,0.4,0.8,-0.2,0.17366881470422457
0.075,0.0,0.4,0.8,0.0,0.5123031563583175
0.075,0.0,0.4,0.8,0.2,0.69066752279642
0.075,0.0,0.4,0.8,0.4,0.8033284661882566
0.075,0.0,0.4,0.8,0.6,0.8668581938663469
0.075,0.0,0.4,0.8,0.8,0.9144891928858866
0.1,0.0,0.1,0.2,-0.4,-0.29293383409978013
0.1,0.0,0.1,0.2,-0.2,-0.09418974312926888
0.1,0.0,0.1,0.2,0.0,0.12510446926042684
0.1,0.0,0.1,0.2,0.2,0.3190012831843307
0.1,0.0,0.1,0.2,0.4,0.5216628572913292
0.1,0.0,0.1,0.2,0.6,0.7100595486924112
0.1,0.0,0.1,0.2,0.8,0.8829256849925647
0.1,0.0,0.1,0.8,-0.4,0.059509537535661676
0.1,0.0,0.1,0.8,-0.2,0.5016517666887829
0.1,0.0,0.1,0.8,0.0,0.8309420768738748
0.1,0.0,0.1,0.8,0.2,0.9253820119334426
0.1,0.0,0.1,0.8,0.4,0.9535702924378601
0.1,0.0,0.1,0.8,0.6,0.9672619775601936
0.1,0.0,0.1,0.8,0.8,0.9760152491515148
0.1,0.0,0.4,0.2,-0.4,-0.38602721869893786
0.1,0.0,0.4,0.2,-0.2,-0.17621620242872604
0.1,0.0,0.4,0.2,0.0,0.04166105335780266
0.1,0.0,0.4,0.2,0.2,0.266678196998655
0.1,0.0,0.4,0.2,0.4,0.494001101655042
0.1,0.0,0.4,0.2,0.6,0.70416168346983
0.1,0.0,0.4,0.2,0.8,0.8692341215571538
0.1,0.0,0.4,0.8,-0.4,-0.04457520876134046
0.1,0.0,0.4,0.8,-0.2,0.32037390037233554
0.1,0.0,0.4,0.8,0.0,0.5526226856666803
0.1,0.0,0.4,0.8,0.2,0.6852505439210851
0.1,0.0,0.4,0.8,0.4,0.7773406152201293
0.1,0.0,0.4,0.8,0.6,0.838919510117668
0.1,0.0,0.4,0.8,0.8,0.9060980066158074
0.125,0.0,0.1,0.2,-0.4,-0.3038879101755683
0.125,0.0,0.1,0.2,-0.2,-0.08062899169259506
0.125,0.0,0.1,0.2,0.0,0.12221582636760177
0.125,0.0,0.1,0.2,0.2,0.32162641559444655
